Time,Load,Solar,Battery,Grid,SOC
0,2699.99882228028,0,0,2699.99882228028,0.5
0.001,2699.99881308583,0,1500,1199.99881308583,0.499998611111111
0.002,2699.99880382225,0,1500,1199.99880382225,0.499997222222222
0.003,2699.99879448905,0,1500,1199.99879448905,0.499995833333333
0.004,2699.99878508573,0,1500,1199.99878508573,0.499994444444444
0.005,2699.99877561177,0,1500,1199.99877561177,0.499993055555556
0.006,2699.99876606669,0,1500,1199.99876606669,0.499991666666667
0.007,2699.99875644995,0,1500,1199.99875644995,0.499990277777778
0.008,2699.99874676105,0,1500,1199.99874676105,0.499988888888889
0.009,2699.99873699947,0,1500,1199.99873699947,0.4999875
0.01,2699.99872716468,0,1500,1199.99872716468,0.499986111111111
0.011,2699.99871725617,0,1500,1199.99871725617,0.499984722222222
0.012,2699.99870727339,0,1500,1199.99870727339,0.499983333333333
0.013,2699.99869721581,0,1500,1199.99869721581,0.499981944444444
0.014,2699.9986870829,0,1500,1199.9986870829,0.499980555555555
0.015,2699.99867687413,0,1500,1199.99867687413,0.499979166666667
0.016,2699.99866658893,0,1500,1199.99866658893,0.499977777777778
0.017,2699.99865622677,0,1500,1199.99865622677,0.499976388888889
0.018,2699.99864578709,0,1500,1199.99864578709,0.499975
0.019,2699.99863526934,0,1500,1199.99863526934,0.499973611111111
0.02,2699.99862467296,0,1500,1199.99862467296,0.499972222222222
0.021,2699.99861399738,0,1500,1199.99861399738,0.499970833333333
0.022,2699.99860324204,0,1500,1199.99860324204,0.499969444444444
0.023,2699.99859240637,0,1500,1199.99859240637,0.499968055555555
0.024,2699.99858148979,0,1500,1199.99858148979,0.499966666666666
0.025,2699.99857049172,0,1500,1199.99857049172,0.499965277777778
0.026,2699.99855941159,0,1500,1199.99855941159,0.499963888888889
0.027,2699.99854824879,0,1500,1199.99854824879,0.4999625
0.028,2699.99853700275,0,1500,1199.99853700275,0.499961111111111
0.029,2699.99852567287,0,1500,1199.99852567287,0.499959722222222
0.03,2699.99851425855,0,1500,1199.99851425855,0.499958333333333
0.031,2699.99850275918,0,1500,1199.99850275918,0.499956944444444
0.032,2699.99849117417,0,1500,1199.99849117417,0.499955555555555
0.033,2699.99847950289,0,1500,1199.99847950289,0.499954166666666
0.034,2699.99846774474,0,1500,1199.99846774474,0.499952777777777
0.035,2699.99845589909,0,1500,1199.99845589909,0.499951388888889
0.036,2699.99844396532,0,1500,1199.99844396532,0.49995
0.037,2699.9984319428,0,1500,1199.9984319428,0.499948611111111
0.038,2699.99841983091,0,1500,1199.99841983091,0.499947222222222
0.039,2699.998407629,0,1500,1199.998407629,0.499945833333333
0.04,2699.99839533643,0,1500,1199.99839533643,0.499944444444444
0.041,2699.99838295256,0,1500,1199.99838295256,0.499943055555555
0.042,2699.99837047674,0,1500,1199.99837047674,0.499941666666666
0.043,2699.99835790832,0,1500,1199.99835790832,0.499940277777777
0.044,2699.99834524664,0,1500,1199.99834524664,0.499938888888888
0.045,2699.99833249103,0,1500,1199.99833249103,0.4999375
0.046,2699.99831964082,0,1500,1199.99831964082,0.499936111111111
0.047,2699.99830669536,0,1500,1199.99830669536,0.499934722222222
0.048,2699.99829365395,0,1500,1199.99829365395,0.499933333333333
0.049,2699.99828051592,0,1500,1199.99828051592,0.499931944444444
0.05,2699.99826728059,0,1500,1199.99826728059,0.499930555555555
0.051,2699.99825394726,0,1500,1199.99825394726,0.499929166666666
0.052,2699.99824051524,0,1500,1199.99824051524,0.499927777777777
0.053,2699.99822698383,0,1500,1199.99822698383,0.499926388888888
0.054,2699.99821335233,0,1500,1199.99821335233,0.499925
0.055,2699.99819962002,0,1500,1199.99819962002,0.499923611111111
0.056,2699.9981857862,0,1500,1199.9981857862,0.499922222222222
0.057,2699.99817185014,0,1500,1199.99817185014,0.499920833333333
0.058,2699.99815781113,0,1500,1199.99815781113,0.499919444444444
0.059,2699.99814366843,0,1500,1199.99814366843,0.499918055555555
0.06,2699.99812942131,0,1500,1199.99812942131,0.499916666666666
0.061,2699.99811506904,0,1500,1199.99811506904,0.499915277777777
0.062,2699.99810061086,0,1500,1199.99810061086,0.499913888888888
0.063,2699.99808604604,0,1500,1199.99808604604,0.499912499999999
0.064,2699.99807137382,0,1500,1199.99807137382,0.499911111111111
0.065,2699.99805659344,0,1500,1199.99805659344,0.499909722222222
0.066,2699.99804170415,0,1500,1199.99804170415,0.499908333333333
0.067,2699.99802670516,0,1500,1199.99802670516,0.499906944444444
0.068,2699.99801159571,0,1500,1199.99801159571,0.499905555555555
0.069,2699.99799637502,0,1500,1199.99799637502,0.499904166666666
0.07,2699.99798104231,0,1500,1199.99798104231,0.499902777777777
0.071,2699.99796559678,0,1500,1199.99796559678,0.499901388888888
0.072,2699.99795003765,0,1500,1199.99795003765,0.499899999999999
0.073,2699.99793436411,0,1500,1199.99793436411,0.49989861111111
0.074,2699.99791857536,0,1500,1199.99791857536,0.499897222222222
0.075,2699.99790267059,0,1500,1199.99790267059,0.499895833333333
0.076,2699.99788664898,0,1500,1199.99788664898,0.499894444444444
0.077,2699.99787050971,0,1500,1199.99787050971,0.499893055555555
0.078,2699.99785425196,0,1500,1199.99785425196,0.499891666666666
0.079,2699.99783787489,0,1500,1199.99783787489,0.499890277777777
0.08,2699.99782137767,0,1500,1199.99782137767,0.499888888888888
0.081,2699.99780475945,0,1500,1199.99780475945,0.499887499999999
0.082,2699.99778801939,0,1500,1199.99778801939,0.49988611111111
0.083,2699.99777115662,0,1500,1199.99777115662,0.499884722222221
0.084,2699.9977541703,0,1500,1199.9977541703,0.499883333333333
0.085,2699.99773705954,0,1500,1199.99773705954,0.499881944444444
0.086,2699.99771982349,0,1500,1199.99771982349,0.499880555555555
0.087,2699.99770246127,0,1500,1199.99770246127,0.499879166666666
0.088,2699.99768497198,0,1500,1199.99768497198,0.499877777777777
0.089,2699.99766735474,0,1500,1199.99766735474,0.499876388888888
0.09,2699.99764960867,0,1500,1199.99764960867,0.499874999999999
0.091,2699.99763173284,0,1500,1199.99763173284,0.49987361111111
0.092,2699.99761372637,0,1500,1199.99761372637,0.499872222222221
0.093,2699.99759558833,0,1500,1199.99759558833,0.499870833333332
0.094,2699.99757731781,0,1500,1199.99757731781,0.499869444444444
0.095,2699.99755891388,0,1500,1199.99755891388,0.499868055555555
0.096,2699.99754037561,0,1500,1199.99754037561,0.499866666666666
0.097,2699.99752170206,0,1500,1199.99752170206,0.499865277777777
0.098,2699.99750289229,0,1500,1199.99750289229,0.499863888888888
0.099,2699.99748394535,0,1500,1199.99748394535,0.499862499999999
0.1,2699.99746486028,0,1500,1199.99746486028,0.49986111111111
0.101,2699.99744563612,0,1500,1199.99744563612,0.499859722222221
0.102,2699.9974262719,0,1500,1199.9974262719,0.499858333333332
0.103,2699.99740676665,0,1500,1199.99740676665,0.499856944444444
0.104,2699.99738711938,0,1500,1199.99738711938,0.499855555555555
0.105,2699.99736732911,0,1500,1199.99736732911,0.499854166666666
0.106,2699.99734739483,0,1500,1199.99734739483,0.499852777777777
0.107,2699.99732731556,0,1500,1199.99732731556,0.499851388888888
0.108,2699.99730709028,0,1500,1199.99730709028,0.499849999999999
0.109,2699.99728671797,0,1500,1199.99728671797,0.49984861111111
0.11,2699.99726619762,0,1500,1199.99726619762,0.499847222222221
0.111,2699.99724552819,0,1500,1199.99724552819,0.499845833333332
0.112,2699.99722470866,0,1500,1199.99722470866,0.499844444444443
0.113,2699.99720373797,0,1500,1199.99720373797,0.499843055555555
0.114,2699.99718261509,0,1500,1199.99718261509,0.499841666666666
0.115,2699.99716133895,0,1500,1199.99716133895,0.499840277777777
0.116,2699.9971399085,0,1500,1199.9971399085,0.499838888888888
0.117,2699.99711832266,0,1500,1199.99711832266,0.499837499999999
0.118,2699.99709658036,0,1500,1199.99709658036,0.49983611111111
0.119,2699.99707468052,0,1500,1199.99707468052,0.499834722222221
0.12,2699.99705262203,0,1500,1199.99705262203,0.499833333333332
0.121,2699.99703040382,0,1500,1199.99703040382,0.499831944444443
0.122,2699.99700802476,0,1500,1199.99700802476,0.499830555555554
0.123,2699.99698548375,0,1500,1199.99698548375,0.499829166666666
0.124,2699.99696277968,0,1500,1199.99696277968,0.499827777777777
0.125,2699.9969399114,0,1500,1199.9969399114,0.499826388888888
0.126,2699.99691687779,0,1500,1199.99691687779,0.499824999999999
0.127,2699.99689367771,0,1500,1199.99689367771,0.49982361111111
0.128,2699.99687031001,0,1500,1199.99687031001,0.499822222222221
0.129,2699.99684677352,0,1500,1199.99684677352,0.499820833333332
0.13,2699.99682306709,0,1500,1199.99682306709,0.499819444444443
0.131,2699.99679918955,0,1500,1199.99679918955,0.499818055555554
0.132,2699.9967751397,0,1500,1199.9967751397,0.499816666666665
0.133,2699.99675091638,0,1500,1199.99675091638,0.499815277777777
0.134,2699.99672651838,0,1500,1199.99672651838,0.499813888888888
0.135,2699.9967019445,0,1500,1199.9967019445,0.499812499999999
0.136,2699.99667719352,0,1500,1199.99667719352,0.49981111111111
0.137,2699.99665226424,0,1500,1199.99665226424,0.499809722222221
0.138,2699.99662715542,0,1500,1199.99662715542,0.499808333333332
0.139,2699.99660186582,0,1500,1199.99660186582,0.499806944444443
0.14,2699.99657639422,0,1500,1199.99657639422,0.499805555555554
0.141,2699.99655073935,0,1500,1199.99655073935,0.499804166666665
0.142,2699.99652489995,0,1500,1199.99652489995,0.499802777777776
0.143,2699.99649887477,0,1500,1199.99649887477,0.499801388888888
0.144,2699.99647266252,0,1500,1199.99647266252,0.499799999999999
0.145,2699.99644626192,0,1500,1199.99644626192,0.49979861111111
0.146,2699.99641967167,0,1500,1199.99641967167,0.499797222222221
0.147,2699.99639289049,0,1500,1199.99639289049,0.499795833333332
0.148,2699.99636591706,0,1500,1199.99636591706,0.499794444444443
0.149,2699.99633875005,0,1500,1199.99633875005,0.499793055555554
0.15,2699.99631138816,0,1500,1199.99631138816,0.499791666666665
0.151,2699.99628383004,0,1500,1199.99628383004,0.499790277777776
0.152,2699.99625607434,0,1500,1199.99625607434,0.499788888888888
0.153,2699.99622811972,0,1500,1199.99622811972,0.499787499999999
0.154,2699.99619996482,0,1500,1199.99619996482,0.49978611111111
0.155,2699.99617160826,0,1500,1199.99617160826,0.499784722222221
0.156,2699.99614304868,0,1500,1199.99614304868,0.499783333333332
0.157,2699.99611428467,0,1500,1199.99611428467,0.499781944444443
0.158,2699.99608531485,0,1500,1199.99608531485,0.499780555555554
0.159,2699.99605613781,0,1500,1199.99605613781,0.499779166666665
0.16,2699.99602675214,0,1500,1199.99602675214,0.499777777777776
0.161,2699.9959971564,0,1500,1199.9959971564,0.499776388888887
0.162,2699.99596734918,0,1500,1199.99596734918,0.499774999999999
0.163,2699.99593732903,0,1500,1199.99593732903,0.49977361111111
0.164,2699.99590709449,0,1500,1199.99590709449,0.499772222222221
0.165,2699.9958766441,0,1500,1199.9958766441,0.499770833333332
0.166,2699.99584597641,0,1500,1199.99584597641,0.499769444444443
0.167,2699.99581508992,0,1500,1199.99581508992,0.499768055555554
0.168,2699.99578398314,0,1500,1199.99578398314,0.499766666666665
0.169,2699.99575265459,0,1500,1199.99575265459,0.499765277777776
0.17,2699.99572110274,0,1500,1199.99572110274,0.499763888888887
0.171,2699.99568932609,0,1500,1199.99568932609,0.499762499999998
0.172,2699.9956573231,0,1500,1199.9956573231,0.49976111111111
0.173,2699.99562509224,0,1500,1199.99562509224,0.499759722222221
0.174,2699.99559263196,0,1500,1199.99559263196,0.499758333333332
0.175,2699.9955599407,0,1500,1199.9955599407,0.499756944444443
0.176,2699.99552701689,0,1500,1199.99552701689,0.499755555555554
0.177,2699.99549385897,0,1500,1199.99549385897,0.499754166666665
0.178,2699.99546046533,0,1500,1199.99546046533,0.499752777777776
0.179,2699.99542683438,0,1500,1199.99542683438,0.499751388888887
0.18,2699.99539296452,0,1500,1199.99539296452,0.499749999999998
0.181,2699.99535885412,0,1500,1199.99535885412,0.499748611111109
0.182,2699.99532450156,0,1500,1199.99532450156,0.499747222222221
0.183,2699.99528990519,0,1500,1199.99528990519,0.499745833333332
0.184,2699.99525506338,0,1500,1199.99525506338,0.499744444444443
0.185,2699.99521997445,0,1500,1199.99521997445,0.499743055555554
0.186,2699.99518463673,0,1500,1199.99518463673,0.499741666666665
0.187,2699.99514904855,0,1500,1199.99514904855,0.499740277777776
0.188,2699.99511320822,0,1500,1199.99511320822,0.499738888888887
0.189,2699.99507711402,0,1500,1199.99507711402,0.499737499999998
0.19,2699.99504076425,0,1500,1199.99504076425,0.499736111111109
0.191,2699.99500415718,0,1500,1199.99500415718,0.49973472222222
0.192,2699.99496729107,0,1500,1199.99496729107,0.499733333333332
0.193,2699.99493016418,0,1500,1199.99493016418,0.499731944444443
0.194,2699.99489277475,0,1500,1199.99489277475,0.499730555555554
0.195,2699.994855121,0,1500,1199.994855121,0.499729166666665
0.196,2699.99481720117,0,1500,1199.99481720117,0.499727777777776
0.197,2699.99477901345,0,1500,1199.99477901345,0.499726388888887
0.198,2699.99474055605,0,1500,1199.99474055605,0.499724999999998
0.199,2699.99470182714,0,1500,1199.99470182714,0.499723611111109
0.2,2699.99466282491,0,1500,1199.99466282491,0.49972222222222
0.201,2699.99462354751,0,1500,1199.99462354751,0.499720833333332
0.202,2699.99458399309,0,1500,1199.99458399309,0.499719444444443
0.203,2699.9945441598,0,1500,1199.9945441598,0.499718055555554
0.204,2699.99450404575,0,1500,1199.99450404575,0.499716666666665
0.205,2699.99446364907,0,1500,1199.99446364907,0.499715277777776
0.206,2699.99442296785,0,1500,1199.99442296785,0.499713888888887
0.207,2699.99438200019,0,1500,1199.99438200019,0.499712499999998
0.208,2699.99434074417,0,1500,1199.99434074417,0.499711111111109
0.209,2699.99429919784,0,1500,1199.99429919784,0.49970972222222
0.21,2699.99425735928,0,1500,1199.99425735928,0.499708333333331
0.211,2699.99421522651,0,1500,1199.99421522651,0.499706944444443
0.212,2699.99417279757,0,1500,1199.99417279757,0.499705555555554
0.213,2699.99413007047,0,1500,1199.99413007047,0.499704166666665
0.214,2699.99408704322,0,1500,1199.99408704322,0.499702777777776
0.215,2699.99404371381,0,1500,1199.99404371381,0.499701388888887
0.216,2699.99400008022,0,1500,1199.99400008022,0.499699999999998
0.217,2699.99395614042,0,1500,1199.99395614042,0.499698611111109
0.218,2699.99391189235,0,1500,1199.99391189235,0.49969722222222
0.219,2699.99386733397,0,1500,1199.99386733397,0.499695833333331
0.22,2699.99382246319,0,1500,1199.99382246319,0.499694444444442
0.221,2699.99377727793,0,1500,1199.99377727793,0.499693055555554
0.222,2699.9937317761,0,1500,1199.9937317761,0.499691666666665
0.223,2699.99368595557,0,1500,1199.99368595557,0.499690277777776
0.224,2699.99363981423,0,1500,1199.99363981423,0.499688888888887
0.225,2699.99359334994,0,1500,1199.99359334994,0.499687499999998
0.226,2699.99354656055,0,1500,1199.99354656055,0.499686111111109
0.227,2699.99349944388,0,1500,1199.99349944388,0.49968472222222
0.228,2699.99345199776,0,1500,1199.99345199776,0.499683333333331
0.229,2699.99340422,0,1500,1199.99340422,0.499681944444442
0.23,2699.99335610839,0,1500,1199.99335610839,0.499680555555553
