Time,Load,Solar,Battery,Grid,SOC
0,5499.99999694271,0,0,5499.99999694271,0.5
0.001,5499.99999690684,0,1500,3999.99999690684,0.499997222222222
0.002,5499.99999687055,0,1500,3999.99999687055,0.499994444444444
0.003,5499.99999683386,0,1500,3999.99999683386,0.499991666666667
0.004,5499.99999679674,0,1500,3999.99999679674,0.499988888888889
0.005,5499.9999967592,0,1500,3999.9999967592,0.499986111111111
0.006,5499.99999672123,0,1500,3999.99999672123,0.499983333333333
0.007,5499.99999668282,0,1500,3999.99999668282,0.499980555555555
0.008,5499.99999664398,0,1500,3999.99999664398,0.499977777777778
0.009,5499.99999660469,0,1500,3999.99999660469,0.499975
0.01,5499.99999656496,0,1500,3999.99999656496,0.499972222222222
0.011,5499.99999652477,0,1500,3999.99999652477,0.499969444444444
0.012,5499.99999648412,0,1500,3999.99999648412,0.499966666666666
0.013,5499.99999644301,0,1500,3999.99999644301,0.499963888888889
0.014,5499.99999640143,0,1500,3999.99999640143,0.499961111111111
0.015,5499.99999635938,0,1500,3999.99999635938,0.499958333333333
0.016,5499.99999631685,0,1500,3999.99999631685,0.499955555555555
0.017,5499.99999627383,0,1500,3999.99999627383,0.499952777777777
0.018,5499.99999623032,0,1500,3999.99999623032,0.49995
0.019,5499.99999618632,0,1500,3999.99999618632,0.499947222222222
0.02,5499.99999614182,0,1500,3999.99999614182,0.499944444444444
0.021,5499.99999609681,0,1500,3999.99999609681,0.499941666666666
0.022,5499.99999605129,0,1500,3999.99999605129,0.499938888888888
0.023,5499.99999600525,0,1500,3999.99999600525,0.499936111111111
0.024,5499.99999595869,0,1500,3999.99999595869,0.499933333333333
0.025,5499.9999959116,0,1500,3999.9999959116,0.499930555555555
0.026,5499.99999586397,0,1500,3999.99999586397,0.499927777777777
0.027,5499.9999958158,0,1500,3999.9999958158,0.499925
0.028,5499.99999576709,0,1500,3999.99999576709,0.499922222222222
0.029,5499.99999571783,0,1500,3999.99999571783,0.499919444444444
0.03,5499.999995668,0,1500,3999.999995668,0.499916666666666
0.031,5499.99999561761,0,1500,3999.99999561761,0.499913888888888
0.032,5499.99999556665,0,1500,3999.99999556665,0.499911111111111
0.033,5499.99999551511,0,1500,3999.99999551511,0.499908333333333
0.034,5499.99999546298,0,1500,3999.99999546298,0.499905555555555
0.035,5499.99999541027,0,1500,3999.99999541027,0.499902777777777
0.036,5499.99999535696,0,1500,3999.99999535696,0.499899999999999
0.037,5499.99999530305,0,1500,3999.99999530305,0.499897222222222
0.038,5499.99999524852,0,1500,3999.99999524852,0.499894444444444
0.039,5499.99999519338,0,1500,3999.99999519338,0.499891666666666
0.04,5499.99999513761,0,1500,3999.99999513761,0.499888888888888
0.041,5499.99999508122,0,1500,3999.99999508122,0.49988611111111
0.042,5499.99999502418,0,1500,3999.99999502418,0.499883333333333
0.043,5499.99999496651,0,1500,3999.99999496651,0.499880555555555
0.044,5499.99999490818,0,1500,3999.99999490818,0.499877777777777
0.045,5499.99999484919,0,1500,3999.99999484919,0.499874999999999
0.046,5499.99999478953,0,1500,3999.99999478953,0.499872222222221
0.047,5499.99999472921,0,1500,3999.99999472921,0.499869444444444
0.048,5499.9999946682,0,1500,3999.9999946682,0.499866666666666
0.049,5499.9999946065,0,1500,3999.9999946065,0.499863888888888
0.05,5499.99999454411,0,1500,3999.99999454411,0.49986111111111
0.051,5499.99999448101,0,1500,3999.99999448101,0.499858333333332
0.052,5499.99999441721,0,1500,3999.99999441721,0.499855555555555
0.053,5499.99999435268,0,1500,3999.99999435268,0.499852777777777
0.054,5499.99999428743,0,1500,3999.99999428743,0.499849999999999
0.055,5499.99999422144,0,1500,3999.99999422144,0.499847222222221
0.056,5499.99999415471,0,1500,3999.99999415471,0.499844444444443
